LunchType,TestPrep,Gender,ParentMaritalStatus,ParentEduc_associate's degree,ParentEduc_bachelor's degree,ParentEduc_high school,ParentEduc_master's degree,ParentEduc_some college,ParentEduc_some high school,moy
0,0,1,0,0,1,0,0,0,0,72.0
0,0,1,1,0,0,0,1,0,0,90.33333333333333
1,0,0,0,1,0,0,0,0,0,47.666666666666664
0,0,0,0,0,0,0,0,1,0,76.33333333333333
0,0,1,0,1,0,0,0,0,0,78.66666666666667
0,1,1,3,0,0,0,0,1,0,89.0
1,0,0,0,0,0,0,0,1,0,41.0
1,1,0,1,0,0,1,0,0,0,65.66666666666667
1,0,1,0,0,0,1,0,0,0,48.666666666666664
0,0,0,2,1,0,0,0,0,0,45.0
0,0,1,0,0,0,1,0,0,0,74.0
0,1,0,1,0,0,0,0,1,0,74.66666666666667
0,0,1,2,0,0,0,1,0,0,53.0
0,0,1,0,0,0,0,0,0,1,74.0
1,0,1,2,0,0,0,0,0,1,26.0
1,1,0,1,0,0,0,1,0,0,45.0
1,0,1,0,1,0,0,0,0,0,54.666666666666664
0,0,0,0,0,0,1,0,0,0,66.0
1,1,1,0,0,0,0,0,1,0,70.0
0,0,1,2,0,0,0,0,0,1,69.33333333333333
1,0,0,0,0,0,0,1,0,0,75.66666666666667
0,0,0,0,0,0,0,0,1,0,57.333333333333336
0,0,1,0,0,1,0,0,0,0,71.66666666666667
0,0,0,0,0,0,1,0,0,0,68.33333333333333
0,0,1,1,0,0,0,0,1,0,70.0
0,0,1,1,0,0,0,0,1,0,63.0
1,0,1,2,0,0,0,1,0,0,65.0
0,0,0,0,0,0,0,0,1,0,40.0
0,0,0,2,0,0,0,0,1,0,88.66666666666667
0,1,0,1,1,0,0,0,0,0,80.33333333333333
0,0,1,0,1,0,0,0,0,0,81.0
1,0,1,0,0,0,0,0,0,1,58.333333333333336
1,1,1,0,1,0,0,0,0,0,86.0
1,0,0,1,1,0,0,0,0,0,57.333333333333336
1,0,0,0,1,0,0,0,0,0,55.0
0,0,1,2,1,0,0,0,0,0,67.33333333333333
1,0,1,0,1,0,0,0,0,0,51.666666666666664
0,0,0,1,1,0,0,0,0,0,57.0
0,0,1,0,0,0,1,0,0,0,72.0
0,1,0,0,0,0,1,0,0,0,82.66666666666667
0,0,0,0,0,0,0,0,1,0,52.333333333333336
1,1,0,0,1,0,0,0,0,0,70.66666666666667
0,0,0,2,0,0,0,0,1,0,48.0
0,0,0,1,0,0,1,0,0,0,80.33333333333333
1,1,1,0,0,0,0,0,0,1,83.66666666666667
1,0,1,2,0,0,1,0,0,0,39.0
0,1,1,0,1,0,0,0,0,0,85.66666666666667
0,0,0,1,1,0,0,0,0,0,52.0
1,0,1,1,0,0,0,0,0,1,9.0
1,0,0,0,0,0,0,0,0,1,37.333333333333336
1,0,0,0,1,0,0,0,0,0,59.333333333333336
0,0,1,0,0,0,0,0,0,1,58.666666666666664
0,0,0,0,0,0,0,0,0,1,61.0
1,0,0,0,0,0,0,0,0,1,39.666666666666664
0,0,1,0,0,0,0,0,1,0,69.66666666666667
1,0,0,2,1,0,0,0,0,0,59.0
0,0,1,1,1,0,0,0,0,0,53.333333333333336
0,1,0,2,0,0,0,0,1,0,61.0
1,0,1,1,1,0,0,0,0,0,47.333333333333336
1,0,0,2,0,0,0,0,0,1,56.333333333333336
1,0,0,2,1,0,0,0,0,0,41.0
0,1,1,2,0,0,0,0,0,1,70.0
0,0,1,2,0,0,0,1,0,0,65.33333333333333
0,0,1,0,1,0,0,0,0,0,50.333333333333336
